empty,empty,blue,yellow,empty,empty,empty,yellow,yellow,empty,empty,empty,empty,blue,empty,empty,|blue,yellow,blue,yellow,blue,blue,yellow,yellow,yellow,yellow,blue,blue,yellow,blue,yellow,blue,
empty,empty,empty,empty,empty,empty,empty,yellow,blue,blue,empty,empty,blue,empty,empty,empty,|yellow,yellow,blue,blue,yellow,blue,blue,yellow,blue,blue,yellow,yellow,blue,yellow,yellow,blue,
empty,empty,empty,empty,empty,empty,yellow,empty,empty,yellow,empty,yellow,blue,yellow,empty,empty,|yellow,blue,blue,yellow,yellow,blue,yellow,blue,blue,yellow,blue,yellow,blue,yellow,yellow,blue,
empty,yellow,empty,yellow,empty,empty,blue,yellow,yellow,empty,empty,empty,empty,empty,empty,empty,|blue,yellow,blue,yellow,yellow,blue,blue,yellow,yellow,blue,yellow,blue,blue,yellow,yellow,blue,
empty,empty,blue,blue,empty,blue,empty,empty,empty,empty,blue,empty,empty,empty,empty,yellow,|yellow,yellow,blue,blue,yellow,blue,yellow,blue,blue,yellow,blue,yellow,blue,blue,yellow,yellow,
empty,empty,blue,empty,yellow,empty,empty,empty,empty,yellow,empty,empty,empty,yellow,empty,blue,|yellow,blue,blue,yellow,yellow,blue,yellow,blue,blue,yellow,blue,yellow,blue,yellow,yellow,blue,
empty,yellow,empty,yellow,empty,empty,empty,yellow,empty,blue,empty,empty,yellow,empty,empty,empty,|blue,yellow,blue,yellow,blue,blue,yellow,yellow,yellow,blue,yellow,blue,yellow,yellow,blue,blue,
blue,yellow,empty,empty,empty,yellow,empty,empty,blue,empty,empty,empty,empty,empty,yellow,empty,|blue,yellow,blue,yellow,yellow,yellow,blue,blue,blue,blue,yellow,yellow,yellow,blue,yellow,blue,
empty,empty,empty,empty,empty,yellow,yellow,empty,blue,empty,empty,empty,empty,empty,yellow,empty,|yellow,blue,blue,yellow,blue,yellow,yellow,blue,blue,yellow,blue,yellow,yellow,blue,yellow,blue,
empty,empty,blue,blue,yellow,empty,empty,empty,empty,empty,blue,empty,empty,empty,empty,empty,|yellow,yellow,blue,blue,yellow,blue,yellow,blue,blue,yellow,blue,yellow,blue,blue,yellow,yellow,
empty,empty,yellow,empty,blue,empty,yellow,empty,blue,empty,empty,empty,empty,empty,empty,yellow,|yellow,blue,yellow,blue,blue,yellow,yellow,blue,blue,yellow,blue,yellow,yellow,blue,blue,yellow,
empty,blue,empty,blue,blue,blue,empty,empty,empty,empty,empty,blue,empty,empty,empty,empty,|yellow,blue,yellow,blue,blue,blue,yellow,yellow,yellow,yellow,blue,blue,blue,yellow,blue,yellow,
empty,yellow,blue,empty,empty,empty,empty,blue,empty,empty,blue,empty,empty,yellow,empty,empty,|blue,yellow,blue,yellow,yellow,blue,yellow,blue,yellow,blue,blue,yellow,blue,yellow,yellow,blue,
empty,empty,empty,yellow,empty,blue,empty,empty,yellow,empty,empty,yellow,empty,empty,empty,empty,|blue,yellow,blue,yellow,yellow,blue,yellow,blue,yellow,blue,blue,yellow,blue,yellow,yellow,blue,
empty,yellow,empty,blue,empty,empty,blue,blue,empty,empty,empty,empty,blue,empty,empty,empty,|blue,yellow,yellow,blue,yellow,yellow,blue,blue,yellow,blue,blue,yellow,blue,blue,yellow,yellow,
